id,artist
354,Joe Falcon
355,Joe Turner
356,John Coltrane
357,John Coltrane & Johnny Hartman
358,John Coltrane Quartet
359,John Denver
360,John Lee Hooker
361,John Lennon Plastic Ono Band
362,John Mayall With Eric Clapton
363,John McCormack
364,John Prine
365,John Williams cond. London Symphony Orchestra
366,Johnnie Ray
367,Johnny Cash
368,Johnny Horton
369,Johnny Mathis
370,Johnny Mercer & The Pied Pipers
371,Joni Mitchell
372,Jose Feliciano
373,Joseph Szigeti
374,Joshua Rifkin
375,Journey
376,Jr. Walker & The All-Stars
377,Judy Collins
378,Judy Garland
379,Judy Garland & Gene Kelly
380,Judy Garland & Various Artists
381,Juilliard Quartet
382,Julie Andrews & Various Artists
383,"Julie Andrews, Dick Van Dyke & Various Artists"
384,Julie London
385,Junior Wells
386,Kansas Joe & Memphis Minnie
387,Kate Smith
388,Kay Starr
389,Keith Jarrett
390,Kenny Rogers
391,Kid Ory's Creole Orchestra As Spike's Seven Pods of Pepper Orchestra
392,King Cole Trio
393,King Oliver & His Jazz Band
394,King Oliver's Creole Jazz Band
395,Kingston Trio
396,Kitty Wells
397,Kolisch String Quartet
398,Kool & The Gang
399,Kraftwerk
400,Kris Kristofferson
401,LaBelle
402,Lalo Schifrin
403,"Lambert, Hendricks & Ross"
404,Laura Nyro
405,Lauryn Hill
406,Lead Belly
407,Led Zeppelin
408,Lee Morgan
409,Lefty Frizzell
410,"Lehman Engel, cond. Lawrence Winters, Camilla Williams"
411,Lena Horne
412,Lennie Tristano Sextet
413,Leo Reisman & His Orchestra; Vocal Refrain By Fred Astaire
414,Leon Russell
415,Leonard Bernstein
416,Leonard Bernstein cond. New York Philharmonic
417,Leonard Bernstein cond. New York Philharmonic with Isaac Stern
418,"Leonard Bernstein cond. New York Philharmonic, London Symphony"
419,Leonard Bernstein With The Philharmonia Orchestra Of London
420,Leonard Cohen
421,"Leopold Stokowski cond. Philadelphia Orchestra, Soloists, Choruses"
422,Leopold Stokowski cond. The Philadelphia Orchestra
423,Leroy Carr
424,"Les Brown & His Orchestra; Doris Day, Vocal"
425,Les Paul & Mary Ford
426,Lesley Gore
427,Lester Flatt & Earl Scruggs
428,Lester Flatt & Earl Scruggs & The Foggy Mountain Boys
429,Lester Young Quartet
430,Linda Ronstadt
431,Link Wray & His Ray Men
432,Lionel Hampton & His Orchestra
433,Little Eva
434,Little Richard
435,Little Walter
436,Loretta Lynn
437,Los Panchos
438,Lou Reed
439,Louis Armstrong
440,Louis Armstrong & Earl Hines
441,Louis Armstrong & Ella Fitzgerald
442,Louis Armstrong & His Hot Five
443,Louis Armstrong & His Orchestra
444,Louis Armstrong & The All-Stars
445,Louis Jordan & His Tympany Five
446,Louis Kaufman Violinist
447,Louis Prima & Keely Smith
448,Love
449,Lynyrd Skynrd
450,Ma Rainey
451,Machito
452,Mahalia Jackson
453,Mamie Smith & Her Jazz Hounds
454,Marian Anderson
455,Martha & The Vandellas
456,Marty Robbins
457,Marvin Gaye
458,Marvin Gaye & Tammi Terrell
459,Mary Martin
460,Mary Wells
461,Maurice Ravel cond. Lamoureux Orchestra
462,"Max Steiner, Conductor"
463,Memphis Jug Band
464,Merle Haggard
465,Michael Jackson
466,Mickey & Sylvia
467,Mike Oldfield
468,Mildred Bailey
469,Miles Davis
470,Miles Davis & Gil Evans
471,Miles Davis Quintet
472,Miles Davis Sextet
473,Mills Brothers
474,Miriam Makeba
475,Mississippi John Hurt
476,Mongo Santamaria
477,Mothers Of Invention
478,Muddy Waters
479,N.W.A
480,Nancy Sinatra
481,"Nat ""King"" Cole"
482,Neil Diamond
483,Neil Young
484,"New York Pro Musica, Noah Greenberg, Director"
485,Nina Simone
486,Nirvana
487,Nitty Gritty Dirt Band
488,Nora Bayes
489,Original Broadway Cast
490,"Original Broadway Cast Alfred Drake, Joan Roberts, Howard DaSilva"
491,"Original Broadway Cast Alfred Drake, Patricia Morison"
492,"Original Broadway Cast Barbara Cook, Max Adrian & Robert Rounseville"
493,Original Broadway Cast Barbra Streisand & Sydney Chaplin
494,"Original Broadway Cast Carol Lawrence, Larry Kert"
495,"Original Broadway Cast Ella Logan, David Wayne"
496,"Original Broadway Cast Ethel Merman, Jack Klugman, Sandra Church"
497,"Original Broadway Cast Ethel Merman, Ray Middleton"
498,"Original Broadway Cast Ezio Pinza, Mary Martin"
499,"Original Broadway Cast John Raitt, Jan Clayton"
500,"Original Broadway Cast Judy Holliday, Sydney Chaplin"
501,"Original Broadway Cast Marc Blitzstein, etc."
502,"Original Broadway Cast Rex Harrison, Julie Andrews"
503,"Original Broadway Cast Richard Burton, Julie Andrews & Robert Goulet"
504,"Original Broadway Cast Richard Kiley, Irving Jacobson, Joan Diener, Robert Rounseville, Ray Middleton"
505,"Original Broadway Cast Robert Alda, Vivian Blaine, Sam Levene, Isabel Bigley & Pat Rooney, Sr."
506,"Original Broadway Cast Robert Preston, Barbara Cook"
507,"Original Broadway Cast Ronnie Dyson, Gerome Ragni, James Rado"
508,"Original Broadway Cast Todd Duncan, Anne Brown"
509,"Original Broadway Cast Yul Brynner, Gertrude Lawrence"
510,"Original Broadway Cast Zero Mostel, Tanya Everett, Maria Karnilova, Beatrice Arthur & Bert Convy"
511,"Original Cast Carol Channing, David Burns, Charles Nelson Reilly"
512,"Original Cast Paul Robeson, Helen Morgan, James Melton"
513,Original Dixieland Jazz Band
514,Original Motion Picture Soundtrack
515,Ornette Coleman
516,"Oscar Levant, Eugene Ormandy cond. Philadelphia Orchestra"
517,Otis Redding
518,Otto Klemperer cond. Philharmonia Orchestra
519,Pablo Casals
520,"Pablo Casals, George Szell cond. Czech Philharmonic Orchestra"
521,Parliament
522,Patsy Cline
523,Patsy Montana & The Prairie Ramblers
524,Patti Page
525,Patti Smith
526,Paul McCartney & Wings
527,Paul Robeson
528,Paul Robeson With Paul Whiteman & His Concert Orchestra
529,Paul Simon
530,Paul Whiteman & His Orchestra
531,Pearl Jam
532,Peggy Lee
533,Penguins
534,Percy Faith & His Orchestra
535,Percy Mayfield
536,Percy Sledge
537,Perry Como
538,Pete Seeger
539,Peter Frampton
540,Peter Gabriel
541,"Peter, Paul & Mary"
542,Petula Clark
543,Phil Spector & Various Artists
544,Pierre Monteux cond. Boston Symphony
545,Pine Top Smith
546,Pink Floyd
547,Prince
548,Prince & The Revolution
549,Procol Harum
550,Professor Longhair & His Blues Scholars
551,Public Enemy
552,Queen
553,Quintet Of The Hot Club Of France Featuring Django Reinhardt & Stephane Grappelli
554,R.E.M.
555,Rafael Kubelik cond. Chicago Symphony Orchestra
556,Ramones
557,Randy Newman
558,Ray Charles
559,Ray Noble & His Orchestra
560,Ray Price
561,Rev. James Cleveland
562,Richard Pryor
563,"Rise Stevens, Jan Peerce, Licia Albanese & Robert Merrill; Fritz Reiner, conductor; Robert Shaw, choral director; RCA Victor Orchestra; Robert Shaw Chorale"
564,Ritchie Valens
565,"Robert Heger cond. The Vienna State Opera Chorus & Vienna Philharmonic Orchestra; Lotte Lehmann, Elisabeth Schumann & Richard Mayr"
566,Robert Johnson
567,Roberta Flack
568,Rod Stewart
569,Roger Miller
570,Rosa Ponselle; Giulio Setti cond. The Metropolitan Opera Orchestra & Chorus
571,Rosemary Clooney
572,Roy Acuff & His Smokey Mountain Boys
573,Roy Acuff & The Crazy Tennesseans
574,Roy Orbison
575,Roy Rogers & Dale Evans
576,Rufus Thomas
577,Run-D.M.C.
578,Ruth Etting
579,Sam & Dave
580,Sam Cooke
581,Sam The Sham & The Pharaohs
582,Sammi Smith
583,Sammy Davis Jr.
584,Santana
585,Sarah Vaughan
586,Serge Koussevitzky cond. Boston Symphony Orchestra
587,"Serge Koussevitzky cond. Boston Symphony Orchestra; Richard Hale, narrator"
588,"Sergei Prokofiev, piano; Piero Coppola cond. The London Symphony Orchestra"
589,Sergei Rachmaninoff
590,"Sergei Rachmaninoff Piano, Leopold Stokowski cond. Philadelphia Orchestra"
591,Sergio Mendes & Brasil '66
592,Sex Pistols
593,Shirley Bassey
594,Sidney Bechet
595,Simon & Garfunkel
596,Sir Douglas Quintet
597,"Sir Thomas Beecham cond. Berlin Philharmonic Orchestra; Berger, Lemnitz, Roswaenge, Strienz & Others"
598,"Sir Thomas Beecham cond., Soloists: de Los Angeles, Bjöerling, Merrill, Tozzi, Amara"
599,Sister Rosetta Tharpe
600,Sister Sledge
601,Skip James
602,Slim Harpo
603,Sly & The Family Stone
604,Smokey Robinson & The Miracles
605,Solomon Linda & The Evening Birds
606,Son House
607,Sonny & Cher
608,Sonny Rollins
609,Sonny Rollins Quartet
610,Sonny Rollins Quartet Featuring John Coltrane
611,Sons Of The Pioneers
612,Sophie Tucker
613,Sousa's Band
614,Spencer Davis Group
615,Spike Jones & His City Slickers
616,Stan Freberg
617,Stan Getz
618,Stan Getz & Astrud Gilberto
619,Stan Getz & Charlie Byrd
620,Stan Getz & João Gilberto
621,Stan Kenton & His Orchestra
622,Steely Dan
623,Steppenwolf
624,Stevie Ray Vaughan & Double Trouble
625,Stevie Wonder
626,Sugarhill Gang
627,Swan Silvertones
628,T-Bone Walker
629,Taj Mahal
630,Tammy Wynette
631,Tennessee Ernie Ford
632,The 4 Seasons
633,The 5th Dimension
634,The Allman Brothers Band
635,The Andrews Sisters
636,The Animals
637,The Band
638,The Beach Boys
